0,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Class,theft
30,38.12403843,3.586220833,0.006969506,0,9.179850659,19.4245,171.638704,149.1712159,16.6994,5.768088074,FullServiceRestaurant,Normal
31,45.59130406,3.586220833,0.008684217,0,9.179850659,26.9147,189.5961268,142.9299061,25.0491,21.61712069,FullServiceRestaurant,Normal
32,45.60018698,3.586220833,0.002049974,0,9.179850659,26.9147,192.453198,139.2203793,33.3988,19.83401869,FullServiceRestaurant,Normal
33,38.11355489,3.586220833,0,0,9.179850659,19.4245,178.9660884,137.6328709,25.0491,16.2841175,FullServiceRestaurant,Normal
34,42.42681181,3.586220833,0.004028388,0,9.179850659,26.9147,195.3161303,138.4734869,41.7485,15.09414337,FullServiceRestaurant,Normal
35,42.13807956,3.586220833,0,0,9.179850659,26.9147,185.9901069,127.962255,41.7485,16.27935186,FullServiceRestaurant,Normal
36,41.41885802,3.586220833,0,0,9.179850659,26.9147,173.9531982,117.6909283,41.7485,14.51376999,FullServiceRestaurant,Normal
37,33.89487678,3.586220833,0,0,9.179850659,19.4245,168.9772849,122.8272075,33.3988,12.75127732,FullServiceRestaurant,Normal
38,33.89353409,3.586220833,0,0,9.179850659,19.4245,162.3689302,126.3232769,25.0491,10.99655325,FullServiceRestaurant,Normal
39,35.99896527,3.586220833,0,0,9.179850659,19.4245,174.3175435,129.9205418,33.3988,10.99820167,FullServiceRestaurant,Normal
40,45.54288297,3.586220833,0.0057091,0,9.179850659,26.9147,192.6958765,131.5999492,50.0982,10.9977273,FullServiceRestaurant,Normal
41,45.55042294,3.586220833,0.002341001,0,9.179850659,26.9147,190.2888654,125.0948665,50.0982,15.09579892,FullServiceRestaurant,Normal
42,45.55970584,3.586220833,0.002424443,0,9.179850659,26.9147,190.8978942,120.9663998,50.0982,19.83329437,FullServiceRestaurant,Normal
43,38.19937629,3.586220833,0,0,9.179850659,19.4245,187.1560961,132.1385977,33.3988,21.61869838,FullServiceRestaurant,Normal
44,38.18017902,3.586220833,0,0,9.179850659,19.4245,191.5060019,139.4713271,33.3988,18.63587479,FullServiceRestaurant,Normal
45,38.11129237,3.586220833,0,0,9.179850659,19.4245,189.5554903,144.6730403,25.0491,19.83335007,FullServiceRestaurant,Normal
46,38.00343077,3.586220833,0,0,9.179850659,19.4245,178.0537288,145.073523,16.6994,16.28080574,FullServiceRestaurant,Normal
47,38.81433683,3.586220833,0,0,9.179850659,19.4245,162.3757213,144.7766441,8.3497,9.249377207,FullServiceRestaurant,Normal
48,22.0555598,3.586220833,0.000951915,0,4.58992533,8.1892,153.1606649,142.3146474,3.33988,7.506137518,FullServiceRestaurant,Normal
49,14.62144499,0,0,0,1.52997511,7.4902,3.931929473,0,3.33988,0.592049473,FullServiceRestaurant,Normal
50,14.63714025,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Normal
51,14.64744586,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Normal
52,15.31087384,0,0,0,1.52997511,7.4902,3.931935412,0,3.33988,0.592055412,FullServiceRestaurant,Normal
53,22.6740705,3.586220833,0.005506631,0,4.58992533,8.1892,170.2768836,161.9071836,8.3497,0.02,FullServiceRestaurant,Normal
54,38.35214778,3.586220833,0.007299726,0,9.179850659,19.4245,170.2908228,147.8235515,16.6994,5.767871315,FullServiceRestaurant,Normal
55,45.59394159,3.586220833,0.010799053,0,9.179850659,26.9147,183.2647914,136.5955933,25.0491,21.62009808,FullServiceRestaurant,Normal
56,45.60033691,3.586220833,0.002015592,0,9.179850659,26.9147,193.3844543,139.5680853,33.3988,20.417569,FullServiceRestaurant,Normal
57,38.11236754,3.586220833,0,0,9.179850659,19.4245,186.6928509,145.364074,25.0491,16.27967686,FullServiceRestaurant,Normal
58,42.42803138,3.586220833,0.006483035,0,9.179850659,26.9147,195.6006527,139.33861,41.7485,14.51354265,FullServiceRestaurant,Normal
59,42.13973312,3.586220833,0,0,9.179850659,26.9147,186.2199599,128.1894119,41.7485,16.28204799,FullServiceRestaurant,Normal
60,41.41900818,3.586220833,0,0,9.179850659,26.9147,177.6944776,120.8517273,41.7485,15.09425026,FullServiceRestaurant,Normal
61,33.8938921,3.586220833,0,0,9.179850659,19.4245,166.2937257,120.1408975,33.3988,12.75402822,FullServiceRestaurant,Normal
62,33.89393116,3.586220833,0,0,9.179850659,19.4245,160.6770022,124.6309303,25.0491,10.99697192,FullServiceRestaurant,Normal
63,35.99826583,3.586220833,0,0,9.179850659,19.4245,172.0279204,127.6314324,33.3988,10.99768804,FullServiceRestaurant,Normal
64,45.54438433,3.586220833,0.007296008,0,9.179850659,26.9147,186.8834633,125.7863255,50.0982,10.99893782,FullServiceRestaurant,Normal
65,45.54759359,3.586220833,0,0,9.179850659,26.9147,196.0417856,131.4291932,50.0982,14.51439239,FullServiceRestaurant,Normal
66,45.55704561,3.586220833,0.002702419,0,9.179850659,26.9147,194.113786,123.5988224,50.0982,20.41676361,FullServiceRestaurant,Normal
67,38.05862845,3.586220833,0,0,9.179850659,19.4245,172.4290553,117.4131778,33.3988,21.61707756,FullServiceRestaurant,Normal
68,38.05087982,3.586220833,0,0,9.179850659,19.4245,167.0418972,115.5898407,33.3988,18.05325655,FullServiceRestaurant,Normal
69,38.012042,3.586220833,0,0,9.179850659,19.4245,172.5909307,127.7073188,25.0491,19.83451185,FullServiceRestaurant,Normal
70,38.00464428,3.586220833,0,0,9.179850659,19.4245,175.5826532,142.0221329,16.6994,16.86112029,FullServiceRestaurant,Normal
71,38.81369771,3.586220833,0,0,9.179850659,19.4245,169.0380277,151.4424482,8.3497,9.245879448,FullServiceRestaurant,Normal
72,34.45585039,2.988517361,0.001559293,0,7.522377624,18.99590833,155.5369105,118.2883626,25.39700417,11.85154369,FullServiceRestaurant,Theft5
73,34.97268778,2.96361305,0.001624264,0,7.644563136,19.44618785,154.8055224,116.4568636,26.31605101,12.03260786,FullServiceRestaurant,Theft5
74,35.8212493,3.087096927,0.001691941,0,7.899337637,19.94435401,161.1157575,121.3092329,27.27339147,12.53313319,FullServiceRestaurant,Theft5
75,36.70449049,3.215725965,0.001762439,0,8.164727742,20.46327709,167.6650838,126.3637843,28.27062111,13.0306784,FullServiceRestaurant,Theft5
76,37.62390506,3.349714547,0.001835874,0,8.441175769,21.00382197,174.5111339,131.6289419,29.30940199,13.57279,FullServiceRestaurant,Theft5
77,38.57529022,3.489285987,0.001912369,0,8.729142463,21.56688955,181.6424362,137.1134812,30.39146541,14.13748958,FullServiceRestaurant,Theft5
78,39.25916887,3.485247035,0.001748881,0,8.901609843,22.12429328,182.526366,136.5146126,31.3098723,14.70188111,FullServiceRestaurant,Theft5
79,39.3064615,3.481039793,0.001528574,0,8.890016476,22.23678467,183.1827772,136.1900335,31.91864198,15.07410164,FullServiceRestaurant,Theft5
80,39.04446108,3.47665725,0.00112953,0,8.877940052,22.04187153,183.2960979,136.2898331,32.20487289,14.80139191,FullServiceRestaurant,Theft5
81,38.77124452,3.4720921,0.001085151,0,8.865360443,21.83883701,183.2130829,136.4661611,32.15512593,14.59179581,FullServiceRestaurant,Theft5
82,38.79861305,3.467336737,0.001130365,0,8.852256684,21.93943439,183.5539878,136.6057129,32.45121034,14.49706456,FullServiceRestaurant,Theft5
83,38.64743911,3.462383233,0.001014305,0,8.838606935,21.73213165,183.0229385,136.4627608,32.06382327,14.49635443,FullServiceRestaurant,Theft5
84,38.50204287,3.457223333,0.001056567,0,8.824388446,21.51619131,182.5108698,136.428489,31.66029508,14.42208572,FullServiceRestaurant,Theft5
85,38.38076895,3.451848437,0.001100591,0,8.809577521,21.29125344,182.2943931,136.6361529,31.23995321,14.41828691,FullServiceRestaurant,Theft5
86,38.56787972,3.446249587,0.001146449,0,8.794149473,21.36903484,182.5451778,136.9074811,31.15000126,14.48769547,FullServiceRestaurant,Theft5
87,38.76271844,3.440417452,0.001194218,0,8.778078591,21.45005712,183.0938822,137.0565594,31.40420547,14.6331174,FullServiceRestaurant,Theft5
88,38.9221081,3.434342311,0.001243977,0,8.761338088,21.53445534,182.8620138,136.7804688,31.32109737,14.76044761,FullServiceRestaurant,Theft5
89,38.64643409,3.428014039,0.001129722,0,8.743900064,21.31027847,181.8797273,136.4237653,30.53871809,14.91724387,FullServiceRestaurant,Theft5
90,38.35892925,3.421422089,0.001087296,0,8.725735456,21.07676091,180.8774067,136.2195688,29.72373968,14.93409821,FullServiceRestaurant,Theft5
91,38.05917368,3.414555475,0.001082575,0,8.706813989,20.83351345,179.7839662,136.1791799,28.87480383,14.72998249,FullServiceRestaurant,Theft5
92,38.05345203,3.407402752,0.001127683,0,8.687104128,20.89222234,179.0543745,135.9251658,28.68630399,14.44290471,FullServiceRestaurant,Theft5
93,38.04826224,3.399951998,0.001174669,0,8.666573022,20.95337744,178.2263391,135.4682943,28.48994999,14.26809486,FullServiceRestaurant,Theft5
94,38.04571587,3.392190797,0.001223614,0,8.645186454,21.01708067,177.511267,134.8418146,28.63331874,14.03613369,FullServiceRestaurant,Theft5
95,38.04754244,3.384106212,0.001274598,0,8.622908779,21.08343819,177.2861346,134.2130235,29.13056536,13.94254572,FullServiceRestaurant,Theft5
96,22.05215443,3.586220833,0,0,4.58992533,8.1892,164.4126992,153.5674146,3.33988,7.505404616,FullServiceRestaurant,Normal
97,14.61544454,0,0,0,1.52997511,7.4902,3.931952515,0,3.33988,0.592072515,FullServiceRestaurant,Normal
98,14.63490251,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Normal
99,14.64821386,0,0,0,1.52997511,7.4902,3.931932546,0,3.33988,0.592052546,FullServiceRestaurant,Normal
100,14.79970713,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Normal
101,22.16670524,3.586220833,0.006426262,0,4.58992533,8.1892,148.2106036,139.8409036,8.3497,0.02,FullServiceRestaurant,Normal
102,38.12665717,3.586220833,0.007180358,0,9.179850659,19.4245,155.3428913,132.875126,16.6994,5.768365244,FullServiceRestaurant,Normal
103,45.59701147,3.586220833,0.010959745,0,9.179850659,26.9147,172.2389941,124.9863523,25.0491,22.20354186,FullServiceRestaurant,Normal
104,45.60298263,3.586220833,0.002116575,0,9.179850659,26.9147,179.6289272,126.3976817,33.3988,19.83244555,FullServiceRestaurant,Normal
105,38.11544628,3.586220833,0,0,9.179850659,19.4245,169.7726448,128.4424451,25.0491,16.2810997,FullServiceRestaurant,Normal
106,42.42847776,3.586220833,0.004033076,0,9.179850659,26.9147,187.24069,130.9776322,41.7485,14.51455782,FullServiceRestaurant,Normal
107,42.13933543,3.586220833,0,0,9.179850659,26.9147,182.9021185,124.2865365,41.7485,16.86708199,FullServiceRestaurant,Normal
108,41.41716686,3.586220833,0,0,9.179850659,26.9147,172.2823002,116.0201472,41.7485,14.51365299,FullServiceRestaurant,Normal
109,33.89393433,3.586220833,0,0,9.179850659,19.4245,164.3998649,118.2481615,33.3988,12.75290347,FullServiceRestaurant,Normal
110,33.89366966,3.586220833,0,0,9.179850659,19.4245,160.4391134,124.3921926,25.0491,10.99782082,FullServiceRestaurant,Normal
111,34.93949367,3.586220833,0,0,9.179850659,19.4245,173.1782734,128.7824145,33.3988,10.99705886,FullServiceRestaurant,Normal
112,45.54440461,3.586220833,0.007497133,0,9.179850659,26.9147,184.6712358,123.5755358,50.0982,10.99750003,FullServiceRestaurant,Normal
113,45.55136872,3.586220833,0.002065764,0,9.179850659,26.9147,185.5006384,120.8879068,50.0982,14.51453167,FullServiceRestaurant,Normal
114,45.55857178,3.586220833,0.002540849,0,9.179850659,26.9147,188.8487089,118.3309291,50.0982,20.41957986,FullServiceRestaurant,Normal
115,38.20251764,3.586220833,0,0,9.179850659,19.4245,166.624044,111.6057677,33.3988,21.61947631,FullServiceRestaurant,Normal
116,38.18763889,3.586220833,0,0,9.179850659,19.4245,159.3406424,107.8888556,33.3988,18.05298685,FullServiceRestaurant,Normal
117,38.1160582,3.586220833,0,0,9.179850659,19.4245,164.8172449,119.3500763,25.0491,20.41806856,FullServiceRestaurant,Normal
118,38.00758785,3.586220833,0,0,9.179850659,19.4245,152.4492071,119.4730581,16.6994,16.27674898,FullServiceRestaurant,Normal
119,38.81888157,3.586220833,0,0,9.179850659,19.4245,134.0180886,116.4218446,8.3497,9.246544063,FullServiceRestaurant,Normal
120,22.05215443,3.586220833,0,0,4.58992533,8.1892,164.4126992,153.5674146,3.33988,7.505404616,FullServiceRestaurant,Theft6
121,14.61544454,0,0,0,1.52997511,7.4902,3.931952515,0,3.33988,0.592072515,FullServiceRestaurant,Theft6
122,14.63490251,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Theft6
123,14.64821386,0,0,0,1.52997511,7.4902,3.931932546,0,3.33988,0.592052546,FullServiceRestaurant,Theft6
124,14.79970713,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Theft6
125,22.16670524,3.586220833,0.006426262,0,4.58992533,8.1892,148.2106036,139.8409036,8.3497,0.02,FullServiceRestaurant,Theft6
126,38.12665717,3.586220833,0.007180358,0,9.179850659,19.4245,155.3428913,132.875126,16.6994,5.768365244,FullServiceRestaurant,Theft6
127,45.59701147,3.586220833,0.010959745,0,9.179850659,26.9147,172.2389941,124.9863523,25.0491,22.20354186,FullServiceRestaurant,Theft6
128,45.60298263,3.586220833,0.002116575,0,9.179850659,26.9147,179.6289272,126.3976817,33.3988,19.83244555,FullServiceRestaurant,Theft6
129,38.11544628,3.586220833,0,0,9.179850659,19.4245,169.7726448,128.4424451,25.0491,16.2810997,FullServiceRestaurant,Theft6
130,42.42847776,3.586220833,0.004033076,0,9.179850659,26.9147,187.24069,130.9776322,41.7485,14.51455782,FullServiceRestaurant,Theft6
131,42.13933543,3.586220833,0,0,9.179850659,26.9147,182.9021185,124.2865365,41.7485,16.86708199,FullServiceRestaurant,Theft6
132,41.41716686,3.586220833,0,0,9.179850659,26.9147,172.2823002,116.0201472,41.7485,14.51365299,FullServiceRestaurant,Theft6
133,33.89393433,3.586220833,0,0,9.179850659,19.4245,164.3998649,118.2481615,33.3988,12.75290347,FullServiceRestaurant,Theft6
134,33.89366966,3.586220833,0,0,9.179850659,19.4245,160.4391134,124.3921926,25.0491,10.99782082,FullServiceRestaurant,Theft6
135,34.93949367,3.586220833,0,0,9.179850659,19.4245,173.1782734,128.7824145,33.3988,10.99705886,FullServiceRestaurant,Theft6
136,45.54440461,3.586220833,0.007497133,0,9.179850659,26.9147,184.6712358,123.5755358,50.0982,10.99750003,FullServiceRestaurant,Theft6
137,45.55136872,3.586220833,0.002065764,0,9.179850659,26.9147,185.5006384,120.8879068,50.0982,14.51453167,FullServiceRestaurant,Theft6
138,45.55857178,3.586220833,0.002540849,0,9.179850659,26.9147,188.8487089,118.3309291,50.0982,20.41957986,FullServiceRestaurant,Theft6
139,38.20251764,3.586220833,0,0,9.179850659,19.4245,166.624044,111.6057677,33.3988,21.61947631,FullServiceRestaurant,Theft6
140,38.18763889,3.586220833,0,0,9.179850659,19.4245,159.3406424,107.8888556,33.3988,18.05298685,FullServiceRestaurant,Theft6
141,38.1160582,3.586220833,0,0,9.179850659,19.4245,164.8172449,119.3500763,25.0491,20.41806856,FullServiceRestaurant,Theft6
142,38.00758785,3.586220833,0,0,9.179850659,19.4245,152.4492071,119.4730581,16.6994,16.27674898,FullServiceRestaurant,Theft6
143,38.81888157,3.586220833,0,0,9.179850659,19.4245,134.0180886,116.4218446,8.3497,9.246544063,FullServiceRestaurant,Theft6
144,22.06140225,3.586220833,0,0,4.58992533,8.1892,135.1200153,124.2754994,3.33988,7.504635969,FullServiceRestaurant,Normal
145,14.62144309,0,0,0,1.52997511,7.4902,3.931970409,0,3.33988,0.592090409,FullServiceRestaurant,Normal
146,14.63852964,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Normal
147,14.65109231,0,0,0,1.52997511,7.4902,3.931976282,0,3.33988,0.592096282,FullServiceRestaurant,Normal
148,14.8020583,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Normal
149,22.17314481,3.586220833,0.011879117,0,4.58992533,8.1892,144.6109689,135.6692184,8.3497,0.592050442,FullServiceRestaurant,Normal
150,38.12890419,3.586220833,0.007101682,0,9.179850659,19.4245,152.287194,130.3939933,16.6994,5.193800655,FullServiceRestaurant,Normal
151,45.59040547,3.586220833,0.007105101,0,9.179850659,26.9147,149.0105628,118.1936331,25.0491,5.767829656,FullServiceRestaurant,Normal
152,45.59496051,3.586220833,0,0,9.179850659,26.9147,156.444678,117.277405,33.3988,5.768472943,FullServiceRestaurant,Normal
153,38.11708111,3.586220833,0.00349465,0,9.179850659,19.4245,166.4639047,123.3616795,25.0491,18.05312524,FullServiceRestaurant,Normal
154,42.43087475,3.586220833,0.004024432,0,9.179850659,26.9147,188.6806148,130.6475566,41.7485,16.28455823,FullServiceRestaurant,Normal
155,42.14146275,3.586220833,0,0,9.179850659,26.9147,183.1613489,122.7738239,41.7485,18.63902493,FullServiceRestaurant,Normal
156,41.41843014,3.586220833,0,0,9.179850659,26.9147,177.0373802,117.2333549,41.7485,18.05552534,FullServiceRestaurant,Normal
157,33.89538891,3.586220833,0,0,9.179850659,19.4245,168.8237131,119.1430836,33.3988,16.28182949,FullServiceRestaurant,Normal
158,33.89673428,3.586220833,0,0,9.179850659,19.4245,162.6749771,123.1124108,25.0491,14.51346634,FullServiceRestaurant,Normal
159,34.94328572,3.586220833,0,0,9.179850659,19.4245,174.1036347,125.6102591,33.3988,15.09457563,FullServiceRestaurant,Normal
160,45.54650534,3.586220833,0.006441933,0,9.179850659,26.9147,189.497276,126.6454676,50.0982,12.75360839,FullServiceRestaurant,Normal
161,45.5494571,3.586220833,0,0,9.179850659,26.9147,192.0259678,127.4137115,50.0982,14.51405633,FullServiceRestaurant,Normal
162,45.5581074,3.586220833,0.002676017,0,9.179850659,26.9147,187.2094001,117.279136,50.0982,19.83206406,FullServiceRestaurant,Normal
163,38.20208121,3.586220833,0,0,9.179850659,19.4245,168.6584283,114.8415311,33.3988,20.4180972,FullServiceRestaurant,Normal
164,38.18421209,3.586220833,0,0,9.179850659,19.4245,169.641976,118.1869511,33.3988,18.05622485,FullServiceRestaurant,Normal
165,38.11655502,3.586220833,0,0,9.179850659,19.4245,163.2483753,118.3667339,25.0491,19.83254139,FullServiceRestaurant,Normal
166,38.00840217,3.586220833,0,0,9.179850659,19.4245,153.4202327,122.2079185,16.6994,14.51291426,FullServiceRestaurant,Normal
167,38.81825633,3.586220833,0,0,9.179850659,19.4245,153.302911,133.3773045,8.3497,11.57590652,FullServiceRestaurant,Normal
168,22.05823483,3.586220833,0,0,4.58992533,8.1892,157.8679937,145.2836362,3.33988,9.24447751,FullServiceRestaurant,Normal
169,14.61688497,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Normal
170,14.63303485,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Normal
171,14.64604499,0,0,0,1.52997511,7.4902,3.931939159,0,3.33988,0.592059159,FullServiceRestaurant,Normal
172,14.79661486,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Normal
173,22.16710437,3.586220833,0.010926119,0,4.58992533,8.1892,165.2707158,156.3289508,8.3497,0.592065081,FullServiceRestaurant,Normal
174,38.12449569,3.586220833,0.007019416,0,9.179850659,19.4245,172.3830776,149.9154616,16.6994,5.768215964,FullServiceRestaurant,Normal
175,45.58640922,3.586220833,0.007135348,0,9.179850659,26.9147,166.2865207,136.0438927,25.0491,5.193527991,FullServiceRestaurant,Normal
176,45.59133215,3.586220833,0,0,9.179850659,26.9147,173.31265,134.1453076,33.3988,5.768542455,FullServiceRestaurant,Normal
177,38.10612647,3.586220833,0,0,9.179850659,19.4245,173.984635,143.1676737,25.0491,5.767861305,FullServiceRestaurant,Normal
178,42.427558,3.586220833,0.007915078,0,9.179850659,26.9147,202.4667726,142.6642307,41.7485,18.05404197,FullServiceRestaurant,Normal
179,42.13857849,3.586220833,0,0,9.179850659,26.9147,199.0551155,138.6701768,41.7485,18.63643877,FullServiceRestaurant,Normal
180,41.41285424,3.586220833,0,0,9.179850659,26.9147,189.5167986,133.2540474,41.7485,14.51425114,FullServiceRestaurant,Normal
181,33.88955943,3.586220833,0,0,9.179850659,19.4245,184.0114261,136.098799,33.3988,14.5138271,FullServiceRestaurant,Normal
182,33.89094128,3.586220833,0,0,9.179850659,19.4245,178.4980924,142.4524915,25.0491,10.99650089,FullServiceRestaurant,Normal
183,34.93633769,3.586220833,0,0,9.179850659,19.4245,189.8096487,145.413622,33.3988,10.99722665,FullServiceRestaurant,Normal
184,45.54073415,3.586220833,0.007087751,0,9.179850659,26.9147,207.1216514,146.0260945,50.0982,10.9973569,FullServiceRestaurant,Normal
185,45.54623112,3.586220833,0.00217445,0,9.179850659,26.9147,210.1025886,145.4915632,50.0982,14.51282546,FullServiceRestaurant,Normal
186,45.54984276,3.586220833,0,0,9.179850659,26.9147,209.890166,141.1536582,50.0982,18.63830781,FullServiceRestaurant,Normal
187,38.19513295,3.586220833,0,0,9.179850659,19.4245,190.4981959,139.0461225,33.3988,18.05327349,FullServiceRestaurant,Normal
188,38.17771658,3.586220833,0,0,9.179850659,19.4245,183.3913827,135.479552,33.3988,14.51303069,FullServiceRestaurant,Normal
189,38.10983395,3.586220833,0,0,9.179850659,19.4245,186.5335841,143.4313339,25.0491,18.05315021,FullServiceRestaurant,Normal
190,38.00164898,3.586220833,0,0,9.179850659,19.4245,180.8930315,149.0978192,16.6994,15.09581232,FullServiceRestaurant,Normal
191,38.81251482,3.586220833,0,0,9.179850659,19.4245,165.9818737,150.1268136,8.3497,7.505360166,FullServiceRestaurant,Normal
192,22.05216698,3.586220833,0,0,4.58992533,8.1892,168.9322344,158.5099801,3.33988,7.08237433,FullServiceRestaurant,Normal
193,14.60744234,0,0,0,1.52997511,7.4902,3.780287052,0,3.33988,0.440407052,FullServiceRestaurant,Normal
194,14.6225422,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Normal
195,14.63582688,0,0,0,1.52997511,7.4902,3.931930594,0,3.33988,0.592050594,FullServiceRestaurant,Normal
196,14.78685851,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Normal
197,22.15875073,3.586220833,0.005324811,0,4.58992533,8.1892,172.6463859,163.7046294,8.3497,0.592056529,FullServiceRestaurant,Normal
198,38.12181321,3.586220833,0.006998812,0,9.179850659,19.4245,178.8650429,156.397509,16.6994,5.768133952,FullServiceRestaurant,Normal
199,45.58960214,3.586220833,0.008828359,0,9.179850659,26.9147,195.4133859,148.7453584,25.0491,21.61892745,FullServiceRestaurant,Normal
200,45.59670286,3.586220833,0,0,9.179850659,26.9147,204.8935861,151.6602245,33.3988,19.83456161,FullServiceRestaurant,Normal
201,38.11076644,3.586220833,0,0,9.179850659,19.4245,194.2141586,152.8808718,25.0491,16.28418674,FullServiceRestaurant,Normal
